,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,839,847,855,863,871,879,872,855,859,875,918,951,972,981,993
Alaska,1503,1503,1503,1503,1503,1504,1404,1429,1481,1501,1618,1568,1506,1514,1522
Arizona,915,939,964,988,1012,1037,1038,1032,1053,1090,1146,1200,1239,1280,1353
Arkansas,819,822,825,827,830,833,771,805,829,829,857,881,888,881,875
California,1452,1532,1612,1693,1773,1854,1974,1976,2042,2134,2308,2409,2454,2482,2527
Colorado,1229,1259,1290,1320,1351,1381,1246,1289,1356,1437,1610,1686,1703,1724,1745
Connecticut,1326,1333,1339,1346,1352,1359,1300,1327,1332,1343,1402,1438,1449,1463,1466
Delaware,1259,1259,1260,1260,1260,1261,1168,1161,1165,1215,1300,1308,1332,1360,1356
District of Columbia,2210,2210,2210,2210,2210,2210,2032,2120,2195,2157,2197,2268,2295,2288,2336
Florida,1051,1093,1136,1179,1222,1265,1299,1317,1369,1443,1515,1583,1584,1589,1609
Georgia,848,881,914,946,979,1011,1045,1034,1050,1105,1179,1237,1276,1301,1342
Hawaii,2189,2190,2191,2192,2193,2194,2004,1962,2099,1986,2310,2387,2356,2337,2353
Idaho,1015,1016,1017,1018,1019,1020,870,869,894,924,1000,1075,1160,1193,1241
Illinois,1238,1260,1282,1304,1326,1347,1378,1361,1394,1451,1477,1492,1494,1521,1544
Indiana,819,832,846,859,873,886,908,873,876,922,961,990,1016,1017,1020
Iowa,913,916,919,923,926,929,889,889,910,945,987,992,983,965,946
Kansas,904,906,908,911,913,915,840,914,916,915,951,959,952,943,947
Kentucky,869,874,880,886,892,898,870,871,878,890,940,958,970,981,989
Louisiana,1035,1042,1050,1057,1064,1071,1040,1050,1037,1081,1138,1168,1171,1150,1129
Maine,1180,1181,1182,1182,1183,1184,1008,1000,1019,1075,1230,1263,1321,1370,1412
Maryland,1531,1539,1547,1555,1563,1571,1529,1559,1580,1595,1628,1638,1644,1656,1664
Massachusetts,1415,1464,1514,1564,1614,1663,1574,1682,1763,1850,1963,2041,2070,2106,2158
Michigan,849,872,895,917,940,962,1055,956,984,1022,1068,1110,1141,1159,1180
Minnesota,1173,1186,1199,1212,1225,1238,1174,1201,1251,1280,1312,1340,1364,1394,1417
Mississippi,863,868,872,877,882,886,815,828,845,881,934,967,964,973,981
Missouri,825,831,837,844,850,856,855,865,849,862,878,903,918,924,937
Montana,1106,1106,1107,1107,1108,1108,1045,975,1018,1011,1101,1169,1205,1225,1249
Nebraska,1004,1005,1005,1006,1007,1007,885,905,958,983,1062,1068,1085,1081,1064
Nevada,1174,1178,1182,1186,1190,1194,1139,1118,1122,1151,1202,1250,1277,1314,1361
New Hampshire,1393,1393,1394,1395,1395,1396,1242,1265,1302,1327,1394,1466,1511,1533,1552
New Jersey,1408,1435,1461,1488,1515,1541,1549,1571,1603,1606,1659,1720,1762,1777,1824
New Mexico,1054,1057,1059,1062,1064,1067,1047,1004,1016,1042,1080,1100,1120,1149,1155
New York,1123,1206,1288,1371,1453,1536,1590,1642,1752,1882,2009,2139,2157,2154,2211
North Carolina,815,840,865,890,914,939,946,966,984,1016,1060,1101,1132,1167,1203
North Dakota,1020,1020,1021,1021,1021,1022,788,870,1031,1111,1231,1110,1044,1008,1021
Ohio,780,798,815,833,851,868,884,891,900,931,983,995,992,1006,1021
Oklahoma,825,829,834,838,843,847,805,814,838,863,899,917,900,895,895
Oregon,1101,1124,1148,1171,1194,1217,1066,1107,1150,1230,1359,1481,1526,1521,1555
Pennsylvania,1021,1038,1055,1072,1089,1106,1121,1128,1148,1167,1198,1222,1230,1245,1259
Rhode Island,1267,1268,1268,1269,1270,1270,1089,1131,1152,1205,1319,1367,1376,1393,1434
South Carolina,935,951,967,984,1000,1017,948,950,984,1050,1127,1172,1207,1222,1230
South Dakota,931,932,932,932,932,933,860,804,909,883,979,1000,998,1002,973
Tennessee,894,912,931,949,968,986,951,975,996,1031,1091,1144,1166,1171,1179
Texas,806,849,892,934,977,1020,1059,1058,1123,1216,1297,1328,1327,1338,1354
Utah,1224,1230,1236,1242,1247,1253,1105,1129,1206,1241,1296,1337,1396,1414,1425
Vermont,1498,1498,1497,1497,1497,1497,1980,1152,1239,1189,1487,1530,1582,1639,1661
Virginia,1317,1335,1353,1371,1389,1407,1373,1431,1465,1478,1499,1520,1544,1571,1596
Washington,1021,1072,1122,1173,1223,1274,1267,1283,1346,1429,1529,1632,1710,1747,1792
West Virginia,923,922,922,921,920,919,918,925,935,912,965,931,889,884,879
Wisconsin,907,917,927,937,948,958,899,971,965,968,1025,1030,1050,1068,1104
Wyoming,1086,1086,1086,1086,1086,1086,1073,1075,1035,1045,1176,1140,1085,1066,1080
