,0-5,5-10,10-15,15-20,20-30,30-40,40-50,50-70,70-80,80-100,100-120,120-150,150<
,,,,,,,,,,,,,
Alabama,232,231,306,347,388,440,507,597,623,706,797,777,1191
,,,,,,,,,,,,,
Alaska,674,672,890,1011,1128,1280,1474,1737,1813,2052,2320,2261,3464
,,,,,,,,,,,,,
Arizona,369,368,487,553,617,700,806,950,991,1122,1269,1237,1894
,,,,,,,,,,,,,
Arkansas,326,326,431,490,546,620,714,842,878,994,1124,1095,1678
,,,,,,,,,,,,,
California,374,373,494,561,626,710,818,964,1005,1138,1287,1254,1921
,,,,,,,,,,,,,
Colorado,337,336,445,505,564,640,737,869,906,1026,1160,1131,1732
,,,,,,,,,,,,,
Connecticut,853,851,1126,1279,1428,1620,1866,2199,2294,2598,2936,2862,4384
,,,,,,,,,,,,,
Delaware,242,242,320,363,405,460,530,624,651,738,834,813,1245
,,,,,,,,,,,,,
District of Columbia,263,263,348,395,441,500,576,679,708,802,906,883,1353
,,,,,,,,,,,,,
Florida,537,536,709,806,899,1020,1175,1384,1444,1636,1848,1802,2760
,,,,,,,,,,,,,
Georgia,495,494,653,742,828,940,1083,1276,1331,1507,1704,1661,2544
,,,,,,,,,,,,,
Hawaii,132,131,174,197,220,250,288,339,354,401,453,442,677
,,,,,,,,,,,,,
Idaho,405,404,535,608,679,770,887,1045,1090,1235,1395,1360,2084
,,,,,,,,,,,,,
Illinois,948,945,1251,1421,1586,1800,2073,2443,2549,2886,3262,3180,4871
,,,,,,,,,,,,,
Indiana,532,530,702,798,890,1010,1163,1371,1430,1619,1830,1784,2733
,,,,,,,,,,,,,
Iowa,779,777,1029,1169,1304,1480,1705,2009,2096,2373,2682,2615,4005
,,,,,,,,,,,,,
Kansas,716,714,945,1074,1199,1360,1566,1846,1926,2181,2465,2403,3681
,,,,,,,,,,,,,
Kentucky,458,457,605,687,767,870,1002,1181,1232,1395,1577,1537,2354
,,,,,,,,,,,,,
Louisiana,242,242,320,363,405,460,530,624,651,738,834,813,1245
,,,,,,,,,,,,,
Maine,632,630,834,948,1058,1200,1382,1629,1699,1924,2175,2120,3248
,,,,,,,,,,,,,
Maryland,495,494,653,742,828,940,1083,1276,1331,1507,1704,1661,2544
,,,,,,,,,,,,,
Massachusetts,558,557,737,837,934,1060,1221,1439,1501,1700,1921,1873,2869
,,,,,,,,,,,,,
Michigan,953,951,1258,1429,1595,1810,2085,2457,2563,2902,3280,3198,4898
,,,,,,,,,,,,,
Minnesota,579,578,765,869,969,1100,1267,1493,1558,1764,1993,1943,2977
,,,,,,,,,,,,,
Mississippi,384,383,507,576,643,730,841,991,1034,1171,1323,1290,1976
,,,,,,,,,,,,,
Missouri,584,583,772,877,978,1110,1279,1507,1572,1780,2012,1961,3004
,,,,,,,,,,,,,
Montana,458,457,605,687,767,870,1002,1181,1232,1395,1577,1537,2354
,,,,,,,,,,,,,
Nebraska,1048,1045,1383,1572,1754,1990,2292,2701,2818,3191,3606,3516,5386
,,,,,,,,,,,,,
Nevada,421,420,556,632,705,800,921,1086,1133,1283,1450,1413,2165
,,,,,,,,,,,,,
New Hampshire,1016,1014,1342,1524,1701,1930,2223,2620,2733,3095,3498,3410,5223
,,,,,,,,,,,,,
New Jersey,1037,1035,1370,1556,1736,1970,2269,2674,2790,3159,3570,3480,5331
,,,,,,,,,,,,,
New Mexico,369,368,487,553,617,700,806,950,991,1122,1269,1237,1894
,,,,,,,,,,,,,
New York,795,793,1050,1192,1331,1510,1739,2050,2138,2421,2736,2668,4086
,,,,,,,,,,,,,
North Carolina,448,446,591,671,749,850,979,1154,1204,1363,1540,1502,2300
,,,,,,,,,,,,,
North Dakota,916,914,1210,1374,1534,1740,2004,2362,2464,2790,3153,3074,4709
,,,,,,,,,,,,,
Ohio,832,830,1098,1248,1393,1580,1820,2145,2237,2533,2863,2791,4276
,,,,,,,,,,,,,
Oklahoma,505,504,667,758,846,960,1106,1303,1359,1539,1740,1696,2598
,,,,,,,,,,,,,
Oregon,490,488,647,734,820,930,1071,1262,1317,1491,1685,1643,2517
,,,,,,,,,,,,,
Pennsylvania,769,767,1015,1153,1287,1460,1682,1982,2068,2341,2646,2579,3951
,,,,,,,,,,,,,
Rhode Island,716,714,945,1074,1199,1360,1566,1846,1926,2181,2465,2403,3681
,,,,,,,,,,,,,
South Carolina,295,294,389,442,494,560,645,760,793,898,1015,989,1516
,,,,,,,,,,,,,
South Dakota,753,751,994,1129,1260,1430,1647,1941,2025,2293,2591,2526,3870
,,,,,,,,,,,,,
Tennessee,469,467,619,703,784,890,1025,1208,1260,1427,1613,1572,2409
,,,,,,,,,,,,,
Texas,1079,1077,1425,1619,1807,2050,2361,2783,2903,3287,3715,3622,5548
,,,,,,,,,,,,,
Utah,342,341,452,513,573,650,749,882,920,1042,1178,1148,1759
,,,,,,,,,,,,,
Vermont,853,851,1126,1279,1428,1620,1866,2199,2294,2598,2936,2862,4384
,,,,,,,,,,,,,
Virginia,463,462,612,695,776,880,1014,1194,1246,1411,1595,1555,2382
,,,,,,,,,,,,,
Washington,505,504,667,758,846,960,1106,1303,1359,1539,1740,1696,2598
,,,,,,,,,,,,,
West Virginia,316,315,417,474,529,600,691,814,850,962,1087,1060,1624
,,,,,,,,,,,,,
Wisconsin,1016,1014,1342,1524,1701,1930,2223,2620,2733,3095,3498,3410,5223
,,,,,,,,,,,,,
Wyoming,332,331,438,498,555,630,726,855,892,1010,1142,1113,1705
