STATEFIPS,PUMA,COUNTYFIPS2
2,101,20
2,102,20
2,200,122
2,200,170
2,300,68
2,300,90
2,300,100
2,300,110
2,300,130
2,300,220
2,300,240
2,300,261
2,400,13
2,400,16
2,400,50
2,400,60
2,400,70
2,400,150
2,400,164
2,400,180
2,400,185
2,400,188
2,400,201
2,400,232
2,400,270
2,400,280
2,400,282
2,400,290
1,200,89
1,300,83
1,300,89
1,500,43
1,500,95
1,500,133
1,600,79
1,600,103
1,400,49
1,400,71
1,1000,55
1,1100,19
1,1100,27
1,1100,29
1,1100,111
1,1100,121
1,1200,15
1,100,33
1,100,77
1,700,57
1,700,59
1,700,75
1,700,93
1,700,107
1,700,119
1,1400,125
1,1500,7
1,1500,47
1,1500,63
1,1500,65
1,1500,91
1,1500,105
1,1700,81
1,1800,5
1,1800,11
1,1800,13
1,1800,41
1,1800,67
1,1800,87
1,1800,109
1,1800,113
1,2500,31
1,2500,39
1,2500,61
1,2600,45
1,2600,69
1,1600,17
1,1600,21
1,1600,37
1,1600,123
1,1900,101
1,2000,1
1,2000,51
1,2000,101
1,2100,23
1,2100,25
1,2100,35
1,2100,53
1,2100,85
1,2100,99
1,2100,129
1,2100,131
1,2200,97
1,2300,97
1,2400,3
1,800,9
1,800,115
1,800,127
1,905,73
1,1300,117
1,901,73
1,902,73
1,903,73
1,904,73
5,100,7
5,200,143
5,300,5
5,300,9
5,300,15
5,300,87
5,300,89
5,300,101
5,300,129
5,400,23
5,400,49
5,400,63
5,400,65
5,400,135
5,400,137
5,400,141
5,500,21
5,500,31
5,500,55
5,500,75
5,500,121
5,600,35
5,600,93
5,700,37
5,700,77
5,700,107
5,700,111
5,700,123
5,800,67
5,800,95
5,800,117
5,800,145
5,800,147
5,900,119
5,1000,119
5,1100,45
5,1100,85
5,1100,125
5,1200,29
5,1200,71
5,1200,105
5,1200,115
5,1200,149
5,1300,33
5,1300,131
5,1400,47
5,1400,61
5,1400,83
5,1400,113
5,1400,127
5,1400,133
5,1500,19
5,1500,51
5,1500,59
5,1500,97
5,1600,1
5,1600,53
5,1600,69
5,1700,3
5,1700,11
5,1700,17
5,1700,25
5,1700,41
5,1700,43
5,1700,79
5,1800,13
5,1800,27
5,1800,39
5,1800,103
5,1800,139
5,1900,57
5,1900,73
5,1900,81
5,1900,91
5,1900,99
5,1900,109
4,300,1
4,300,17
4,400,5
4,500,25
4,600,12
4,600,15
4,700,27
4,800,7
4,800,21
4,900,3
4,900,9
4,900,11
4,900,23
4,101,13
4,102,13
4,108,13
4,109,13
4,110,13
4,103,13
4,104,13
4,107,13
4,105,13
4,106,13
4,114,13
4,115,13
4,112,13
4,113,13
4,117,13
4,111,13
4,118,13
4,119,13
4,116,13
4,120,13
4,121,13
4,122,13
4,202,19
4,203,19
4,205,19
4,206,19
4,201,19
4,204,19
4,207,19
6,100,15
6,100,35
6,100,49
6,100,93
6,200,23
6,300,89
6,400,33
6,400,45
6,500,11
6,500,21
6,500,103
6,500,105
6,600,7
6,700,57
6,700,63
6,700,91
6,800,101
6,800,115
6,900,113
6,1101,97
6,1102,97
6,1103,97
6,1201,41
6,1202,41
6,1000,55
6,1301,95
6,1302,95
6,1303,95
6,1401,67
6,1402,67
6,1403,67
6,1501,67
6,1502,67
6,1504,67
6,1503,67
6,1505,67
6,1506,67
6,1601,61
6,1602,61
6,1700,17
6,1800,3
6,1800,5
6,1800,9
6,1800,27
6,1800,43
6,1800,51
