,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,115888,124917,130361,129449,124291,119257,113679,111792,113200,115371,117899,120980,124972,130899,137297
Alaska,224285,243773,257846,262768,262366,262687,259711,263420,270561,278648,287872,293148,294652,296691,307785
Arizona,226521,275736,263506,218865,175284,158709,140657,151017,177841,192640,202163,215562,230445,248027,262889
Arkansas,100523,107229,109890,109517,105786,104262,101298,102231,104536,106070,108674,112414,117072,122497,127558
California,476907,521318,498599,407058,332777,330839,311851,310437,370080,417341,441853,474076,507301,544910,553351
Colorado,242783,248310,248770,240612,233379,231528,222802,227347,245934,265184,293853,325308,354193,381242,397549
Connecticut,298876,320215,317499,298218,275038,264095,248674,234172,238803,240650,239406,239629,245985,252447,255177
Delaware,243503,269368,275264,264159,246044,237822,222147,210429,209998,219357,226111,234206,240791,250043,256578
District of Columbia,415553,458422,457188,444247,420873,420874,416250,426795,472238,520172,529241,552949,579851,601717,625354
Florida,223408,268363,258429,213524,169929,154398,140117,140098,156673,174329,187189,203335,219050,233998,244261
Georgia,162096,168573,172258,165330,148184,137950,124766,121232,130950,143544,152094,161284,171855,186857,199040
Hawaii,444159,522194,531214,519134,472431,466681,464568,462797,487403,525899,547374,571419,605369,632275,640346
Idaho,166943,191998,201776,199356,177313,160868,145180,150480,168912,178003,186741,202156,220476,248727,278172
Illinois,217277,231236,233027,219159,193847,181180,165160,154960,160790,170649,175941,182760,192084,199786,203672
Indiana,116768,119615,121329,120865,117501,115992,112649,112051,113698,117563,121169,125810,133162,142740,152142
Iowa,117192,121607,124052,124246,122647,122106,119189,119634,122985,126312,130179,135120,140979,146407,151737
Kansas,114289,117672,121465,122565,121959,121314,117414,116546,118198,120467,124794,129773,135991,143076,149279
Kentucky,111599,115363,117133,116769,115453,114556,111012,110423,111977,114525,118327,123622,130838,138317,144829
Louisiana,132411,145140,151572,152431,151036,150388,145994,145407,147340,150526,154091,158103,162329,166230,167162
Maine,208885,215518,214602,208679,194317,189012,184918,182158,185625,187266,192100,201260,213652,226789,236425
Maryland,308270,353507,357307,327223,286599,271297,255212,249458,261798,273164,275087,281099,291800,302302,308710
Massachusetts,381682,380540,362452,340008,317877,319478,307086,300456,319248,336487,349464,366217,387490,410220,419616
Michigan,153024,153473,145936,130718,110703,102685,96293,97490,108450,120996,127991,136369,147666,160011,169541
Minnesota,222072,227964,223944,207190,188866,183522,168112,165840,180634,194494,201567,213438,227929,243313,254687
Mississippi,101798,110150,115851,114336,110469,107541,105288,104137,103359,104367,108728,111561,115159,119315,124260
Missouri,134268,139773,141662,138422,132699,129676,121978,119384,122162,125915,130211,136587,144703,153420,161059
Montana,181338,197840,209581,213442,209184,203246,196784,199296,208246,218485,227814,235386,246834,261123,275742
Nebraska,123899,127704,128686,125372,123816,125064,121235,121566,126841,130763,137006,143414,153288,163469,172453
Nevada,332554,352013,332261,256346,181540,156065,140380,138438,171655,198613,213691,230330,250618,288135,303043
New Hampshire,261088,269427,261189,245496,227728,221106,214080,209245,216975,225627,234543,243647,258878,275544,287155
New Jersey,358545,392818,387126,362609,332059,320350,299278,283839,288527,299840,302614,305719,314564,328218,335495
New Mexico,160359,182008,195667,193421,183527,177213,167338,163879,166126,170246,171657,176172,182527,189890,200765
New York,261599,283331,287760,283389,268388,264402,257360,252687,257618,265569,271569,279871,293139,309858,322264
North Carolina,153710,163088,171161,172142,164913,159331,151929,148055,150542,155161,159896,166811,177073,188943,200051
North Dakota,146277,154301,161663,167083,168012,168765,170759,177076,194555,208829,222763,229414,231335,232321,234437
Ohio,130858,133172,131796,127464,121005,117965,112105,109135,110972,113446,117771,122990,130579,139216,147474
Oklahoma,95795,100136,103441,104755,104482,105357,102669,102780,105123,108164,112046,115165,119201,122978,127528
Oregon,226810,269191,286878,273943,246406,232115,212535,209812,230772,250419,270120,300024,327488,349006,361576
Pennsylvania,156238,170009,175562,174194,168086,167274,159950,156458,158155,160893,163549,167760,174445,183981,191822
Rhode Island,307345,319654,304962,281626,247890,244331,230960,218508,226316,236464,241023,253632,269428,287860,295580
South Carolina,148006,160831,166876,164360,154890,149724,141588,139039,141369,146434,151479,158434,166513,176343,184845
South Dakota,135714,141846,146190,149951,149550,148511,147849,149023,154096,159356,166212,174695,184971,194131,203328
Tennessee,130365,139224,145030,142913,137151,134285,129492,128042,131202,136414,141749,150106,161052,173200,183573
Texas,131644,136211,141410,140769,137590,136872,132375,133258,140755,151689,163433,174801,186460,197413,206803
Utah,192170,213522,246782,248741,224856,211403,195571,197714,219866,232551,244560,264218,289158,317323,341633
Vermont,205716,225087,234860,235363,229404,226366,225975,225169,225145,225316,227425,229843,237089,247272,255240
Virginia,257106,286470,284332,263623,242922,238631,230447,229514,237896,245026,248580,253410,262705,271774,282116
Washington,257927,300986,320479,304482,272092,256833,233001,225299,246421,264958,285607,316198,352484,389447,405305
West Virginia,87373,91269,93351,94043,91469,89658,88366,88556,90174,92344,94782,97127,99150,102759,105970
Wisconsin,165366,172092,173612,169241,159837,155759,145104,141125,143942,150124,154270,161237,172102,184034,194018
Wyoming,169837,185550,199815,202981,199176,196115,194283,197890,204547,211625,219607,224405,226206,234338,245574
