STATENAME,COUNTYFIPS,STATENAME_COUNTYNAME,YEAR,price_rent_ratio_county
Alabama,101,"Alabama, Autauga",2005,9.55
Alabama,101,"Alabama, Autauga",2006,9.86
Alabama,101,"Alabama, Autauga",2007,10.95
Alabama,101,"Alabama, Autauga",2008,11.91
Alabama,101,"Alabama, Autauga",2009,12.14
Alabama,101,"Alabama, Autauga",2010,11.55
Alabama,101,"Alabama, Autauga",2011,10.84
Alabama,101,"Alabama, Autauga",2012,10.81
Alabama,101,"Alabama, Autauga",2013,11.16
Alabama,101,"Alabama, Autauga",2014,11.31
Alabama,101,"Alabama, Autauga",2015,10.88
Alabama,101,"Alabama, Autauga",2016,10.42
Alabama,101,"Alabama, Autauga",2017,10.64
Alabama,103,"Alabama, Baldwin",2005,9.33
Alabama,103,"Alabama, Baldwin",2006,9.63
Alabama,103,"Alabama, Baldwin",2007,10.7
Alabama,103,"Alabama, Baldwin",2008,11.63
Alabama,103,"Alabama, Baldwin",2009,11.86
Alabama,103,"Alabama, Baldwin",2010,11.27
Alabama,103,"Alabama, Baldwin",2011,11.42
Alabama,103,"Alabama, Baldwin",2012,12.14
Alabama,103,"Alabama, Baldwin",2013,11.35
Alabama,103,"Alabama, Baldwin",2014,11.75
Alabama,103,"Alabama, Baldwin",2015,11.25
Alabama,103,"Alabama, Baldwin",2016,11.09
Alabama,103,"Alabama, Baldwin",2017,11.4
Alabama,109,"Alabama, Blount",2005,8.32
Alabama,109,"Alabama, Blount",2006,8.59
Alabama,109,"Alabama, Blount",2007,9.54
Alabama,109,"Alabama, Blount",2008,10.37
Alabama,109,"Alabama, Blount",2009,10.58
Alabama,109,"Alabama, Blount",2010,10.07
Alabama,109,"Alabama, Blount",2011,9.63
Alabama,109,"Alabama, Blount",2012,10.42
Alabama,109,"Alabama, Blount",2013,10.06
Alabama,109,"Alabama, Blount",2014,10.34
Alabama,109,"Alabama, Blount",2015,10.14
Alabama,109,"Alabama, Blount",2016,10.74
Alabama,109,"Alabama, Blount",2017,10.82
Arizona,401,"Arizona, Apache",2005,7.23
Arizona,401,"Arizona, Apache",2006,7.46
Arizona,401,"Arizona, Apache",2007,8.29
Arizona,401,"Arizona, Apache",2008,9.01
Arizona,401,"Arizona, Apache",2009,9.19
Arizona,401,"Arizona, Apache",2010,8.74
Arizona,401,"Arizona, Apache",2011,9.62
Arizona,401,"Arizona, Apache",2012,8.91
Arizona,401,"Arizona, Apache",2013,8.11
Arizona,401,"Arizona, Apache",2014,9.11
Arizona,401,"Arizona, Apache",2015,10.05
Arizona,401,"Arizona, Apache",2016,9.97
Arizona,401,"Arizona, Apache",2017,10
Arizona,403,"Arizona, Cochise",2005,10.47
Arizona,403,"Arizona, Cochise",2006,10.81
Arizona,403,"Arizona, Cochise",2007,12.01
Arizona,403,"Arizona, Cochise",2008,13.06
Arizona,403,"Arizona, Cochise",2009,13.31
